0,1,2,3
1,43,139,-706.0
1,57,139,-662.0
1,81,139,-660.0
1,50,139,-642.0
1,48,139,-606.0
1,40,139,-588.0
76,77,129,-543.0
84,77,124,-543.0
56,81,99,-539.0
51,50,140,-528.0
24,41,123,-511.0
63,70,87,-508.0
84,77,129,-506.0
17,48,100,-499.0
69,66,97,-497.0
48,83,93,-481.0
66,63,87,-477.0
65,70,100,-457.0
41,63,116,-456.0
76,75,129,-454.0
62,35,118,-439.0
84,75,124,-438.0
84,63,129,-433.0
61,54,116,-432.0
84,54,124,-432.0
61,49,116,-430.0
65,41,123,-425.0
17,40,100,-422.0
66,70,87,-418.0
51,50,109,-417.0
34,83,93,-409.0
34,77,116,-409.0
17,28,100,-407.0
82,70,100,-405.0
57,70,87,-404.0
56,50,140,-403.0
61,83,120,-401.0
34,77,93,-400.0
24,61,124,-396.0
51,50,127,-395.0
76,70,129,-394.0
41,77,116,-391.0
84,70,129,-389.0
84,75,129,-389.0
77,19,116,-388.0
43,6,123,-386.0
31,52,100,-386.0
17,81,100,-383.0
65,77,125,-383.0
77,70,116,-379.0
17,41,134,-378.0
83,65,108,-378.0
34,66,93,-377.0
65,75,125,-377.0
16,40,100,-376.0
51,50,88,-374.0
51,50,97,-374.0
65,6,100,-373.0
74,77,129,-372.0
24,41,100,-369.0
62,61,113,-369.0
16,22,100,-368.0
17,3,100,-368.0
85,77,116,-368.0
16,6,100,-367.0
62,34,118,-366.0
41,49,116,-365.0
51,50,108,-363.0
77,0,87,-363.0
77,35,116,-362.0
84,63,124,-362.0
71,0,136,-361.0
84,54,129,-361.0
83,66,93,-359.0
34,41,113,-358.0
82,77,116,-358.0
74,54,129,-358.0
48,70,93,-357.0
78,76,93,-357.0
74,75,129,-356.0
62,0,118,-355.0
84,76,129,-355.0
84,70,124,-354.0
78,84,93,-353.0
17,50,129,-352.0
65,63,100,-352.0
61,70,120,-347.0
48,20,87,-345.0
61,63,120,-345.0
77,71,100,-345.0
74,70,129,-343.0
84,77,111,-342.0
34,6,93,-341.0
34,54,116,-341.0
51,50,114,-341.0
55,50,114,-341.0
65,77,129,-341.0
7,14,104,-338.0
62,0,136,-338.0
35,0,87,-337.0
61,77,116,-333.0
63,75,100,-333.0
34,75,116,-332.0
61,35,116,-331.0
62,0,113,-331.0
25,70,134,-329.0
84,76,124,-329.0
65,71,100,-328.0
74,63,129,-328.0
17,22,100,-327.0
41,70,116,-326.0
17,19,100,-326.0
61,70,116,-326.0
24,81,123,-324.0
42,41,127,-323.0
61,63,116,-323.0
55,50,97,-322.0
76,63,106,-322.0
10,41,123,-322.0
72,66,93,-320.0
41,35,116,-319.0
34,69,93,-318.0
63,75,116,-315.0
74,75,124,-310.0
47,50,109,-309.0
86,26,117,-309.0
41,57,123,-308.0
54,0,136,-308.0
36,50,108,-307.0
60,75,116,-307.0
74,54,124,-306.0
61,54,120,-305.0
78,66,106,-305.0
34,49,116,-304.0
34,63,116,-304.0
47,50,93,-304.0
7,29,116,-303.0
42,41,113,-302.0
57,75,116,-302.0
78,65,93,-302.0
1,0,92,-302.0
34,63,120,-301.0
34,83,120,-301.0
42,50,140,-301.0
47,50,89,-301.0
66,83,93,-301.0
74,75,116,-301.0
76,54,129,-300.0
78,63,106,-300.0
53,0,127,-298.0
65,83,125,-298.0
83,46,100,-298.0
16,28,100,-297.0
